Date : 2025-05-14 10:00:08
Directory : d:\Mg\odzyskajmy-web
Total : 98 files,  14922 codes, 337 comments, 897 blanks, all 16156 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Mg\odzyskajmy-web\src\components\ui\section-container.tsx | TypeScript JSX     |         54 |          0 |          5 |         59 |
| d:\Mg\odzyskajmy-web\src\components\ui\select.tsx            | TypeScript JSX     |        145 |          0 |         14 |        159 |
| d:\Mg\odzyskajmy-web\src\components\ui\separator.tsx         | TypeScript JSX     |         26 |          0 |          4 |         30 |
| d:\Mg\odzyskajmy-web\src\components\ui\sheet.tsx             | TypeScript JSX     |        116 |          0 |         16 |        132 |
| d:\Mg\odzyskajmy-web\src\components\ui\sidebar.tsx           | TypeScript JSX     |        696 |         12 |         54 |        762 |
| d:\Mg\odzyskajmy-web\src\components\ui\skeleton.tsx          | TypeScript JSX     |         13 |          0 |          3 |         16 |
| d:\Mg\odzyskajmy-web\src\components\ui\slider.tsx            | TypeScript JSX     |         23 |          0 |          4 |         27 |
| d:\Mg\odzyskajmy-web\src\components\ui\sonner.tsx            | TypeScript JSX     |         25 |          0 |          5 |         30 |
| d:\Mg\odzyskajmy-web\src\components\ui\switch.tsx            | TypeScript JSX     |         24 |          0 |          4 |         28 |
| d:\Mg\odzyskajmy-web\src\components\ui\table.tsx             | TypeScript JSX     |        107 |          0 |         11 |        118 |
| d:\Mg\odzyskajmy-web\src\components\ui\tabs.tsx              | TypeScript JSX     |         47 |          0 |          7 |         54 |
| d:\Mg\odzyskajmy-web\src\components\ui\textarea.tsx          | TypeScript JSX     |         20 |          0 |          5 |         25 |
| d:\Mg\odzyskajmy-web\src\components\ui\toast.tsx             | TypeScript JSX     |        115 |          0 |         13 |        128 |
| d:\Mg\odzyskajmy-web\src\components\ui\toaster.tsx           | TypeScript JSX     |         31 |          0 |          3 |         34 |
| d:\Mg\odzyskajmy-web\src\components\ui\toggle-group.tsx      | TypeScript JSX     |         51 |          0 |          9 |         60 |
| d:\Mg\odzyskajmy-web\src\components\ui\toggle.tsx            | TypeScript JSX     |         38 |          0 |          6 |         44 |
| d:\Mg\odzyskajmy-web\src\components\ui\tooltip.tsx           | TypeScript JSX     |         22 |          0 |          7 |         29 |
| d:\Mg\odzyskajmy-web\src\components\ui\use-toast.ts          | TypeScript         |          2 |          0 |          2 |          4 |
| d:\Mg\odzyskajmy-web\src\data\projectsData.ts                | TypeScript         |         99 |          0 |         13 |        112 |
| d:\Mg\odzyskajmy-web\src\hooks\use-mobile.tsx                | TypeScript JSX     |         15 |          0 |          5 |         20 |
| d:\Mg\odzyskajmy-web\src\hooks\use-toast.ts                  | TypeScript         |        159 |          2 |         31 |        192 |
| d:\Mg\odzyskajmy-web\src\index.css                           | CSS                |        172 |         26 |         48 |        246 |
| d:\Mg\odzyskajmy-web\src\lib\utils.ts                        | TypeScript         |          5 |          0 |          2 |          7 |
| d:\Mg\odzyskajmy-web\src\main.tsx                            | TypeScript JSX     |          4 |          0 |          2 |          6 |
| d:\Mg\odzyskajmy-web\src\pages\About.tsx                     | TypeScript JSX     |        225 |         10 |         12 |        247 |
| d:\Mg\odzyskajmy-web\src\pages\Contact.tsx                   | TypeScript JSX     |        261 |          5 |         20 |        286 |
| d:\Mg\odzyskajmy-web\src\pages\Donate.tsx                    | TypeScript JSX     |         55 |          1 |          2 |         58 |
| d:\Mg\odzyskajmy-web\src\pages\Home.tsx                      | TypeScript JSX     |        150 |         38 |          8 |        196 |
| d:\Mg\odzyskajmy-web\src\pages\Index.tsx                     | TypeScript JSX     |         11 |          1 |          3 |         15 |
| d:\Mg\odzyskajmy-web\src\pages\NotFound.tsx                  | TypeScript JSX     |         34 |          0 |          6 |         40 |
